objid,ra,dec,z,v_rest
1237667323260371097,193.603093638378,27.3639566471975,0.026080,849.940
1237667444585005256,193.637317002314,28.3767687393698,0.023358,33.839
1237667443511328799,193.638261700113,27.6327618999004,0.024389,343.000
1237667442437587079,193.647610924202,26.7514053326735,0.026758,1053.097
1237667322723500153,193.653416947683,26.9348684479231,0.019778,-1039.442
1237667323260371120,193.654347163216,27.317524390098,0.024973,518.027
1237667323797242004,193.65598147276,27.6920177012824,0.028161,1473.874
1237667442974457979,193.673386474224,27.0414628495363,0.023646,120.095
1237667444048199866,193.67441717678,28.0459526526982,0.025567,695.993
1237667443511328817,193.675201288838,27.638941069789,0.028734,1645.658
1237667443511328828,193.681144453774,27.4554315600641,0.026188,882.167
1237667323260371127,193.687389963899,27.4110616074489,0.025769,756.569
1237667443511328839,193.713928631012,27.494477111169,0.023395,44.958
1237667444585070671,193.723678438546,28.4169772491001,0.024612,409.883
1237667323260370980,193.729866302019,27.4127019176053,0.026155,872.427
1237665440978501687,193.730898293238,29.0123834770594,0.021390,-556.270
1237667444048199901,193.731604009714,28.0668518380876,0.021026,-665.355
1237667324334112923,193.736520015737,28.1262654156492,0.021028,-664.789
1237667444585070698,193.740684123007,28.3084255897581,0.021051,-657.843
1237667442974458012,193.751917051615,27.1938415283686,0.024834,476.236
1237667443511328857,193.753470855872,27.483378756505,0.023215,-9.041
1237667444048199948,193.770796964216,28.062513691455,0.020907,-700.848
1237667442437652578,193.771294173916,26.7241612788974,0.022154,-327.216
1237667323797307673,193.807782932551,27.7088974203091,0.022265,-293.688
1237667324334113422,193.815556899898,28.2519410228103,0.021090,-646.112
1237667444048265307,193.82964915854,27.9250633153064,0.021539,-511.511
1237667444048265310,193.833329920731,27.8666878264645,0.023260,4.342
1237667442437652611,193.835153769198,26.7999078098222,0.022767,-143.432
1237667442974523562,193.836636489112,27.1496744833058,0.020900,-703.117
1237667323797307738,193.837189431664,27.6691496111772,0.023702,136.949
1237667444585070621,193.844046455735,28.4678904671976,0.023418,51.937
1237667323260436744,193.851857260447,27.2804654666378,0.021740,-451.097
1237665440441696400,193.852191265995,28.5712477441995,0.025648,720.363
1237667323797307493,193.854377493068,27.7980356026472,0.024573,397.982
1237667443511394428,193.860703575071,27.6040406558282,0.022616,-188.721
1237667323260436605,193.862346628816,27.4224983156058,0.023961,214.712
1237667323797307576,193.86580384848,27.656121565351,0.023409,49.233
1237667444048265337,193.867386306958,27.9496847032653,0.020793,-735.132
1237667443511394328,193.871236167837,27.5214355889665,0.023271,7.904
1237667443511394444,193.87754691215,27.5442726854574,0.023431,55.655
1237667323797307743,193.8919758661,27.8416590356694,0.023342,29.180
1237667323797307748,193.898751122449,27.7671346607378,0.022349,-268.580
1237667322723631193,193.903934566501,26.9116379740067,0.019780,-1038.903
1237667323260502019,193.922068404893,27.2507651298822,0.023651,121.738
1237667323797307772,193.934458511967,27.7165846912562,0.023880,190.213
1237667252945486149,193.934561775186,28.754602706659,0.027474,1267.775
1237667323797307767,193.939074611059,27.7962816369419,0.022937,-92.440
1237667324334178423,193.949253790334,28.2561030430124,0.027009,1128.507
1237667444048265289,193.954174405671,27.9058629384561,0.023127,-35.287
1237667323797373145,193.955331240998,27.7518748250867,0.024182,280.796
1237667442974589337,193.957385477591,27.0888294984274,0.022806,-131.527
1237667443511459907,193.984549587069,27.6097889714613,0.022739,-151.643
1237667444048265399,193.989401102579,27.9049261202999,0.021932,-393.581
1237667444585136268,193.993301777487,28.4073752639864,0.020030,-963.922
1237667444048331015,193.998988436601,27.9550703954291,0.027008,1128.141
1237667324334243849,193.999778775217,28.1869473587921,0.018675,-1370.077
1237667444048330974,194.006462553163,28.0383603406484,0.019796,-1033.947
1237667442437718037,194.007297967511,26.7566282874302,0.019177,-1219.657
1237667323797373355,194.008014224364,27.6646584678041,0.020671,-771.539
1237667322723631315,194.008273685,26.9208104301108,0.018993,-1274.740
1237667444048330975,194.011403308108,28.0479630718754,0.024677,429.385
1237667444585136289,194.014968319146,28.4347748393722,0.022774,-141.336
1237667442974589034,194.016549735472,27.1504293109407,0.024502,376.720
1237667323260502211,194.017516603467,27.2855451577057,0.022359,-265.570
1237667323797372960,194.025405560641,27.6781025860047,0.016483,-2027.130
1237667323797373198,194.026848768133,27.6480394791657,0.025363,635.045
1237667444585201733,194.03975236878,28.3108886952733,0.026385,941.409
1237667444048330789,194.04125140232,27.8442642259626,0.025257,603.231
1237667324334243951,194.045738351206,28.1631690834438,0.028999,1724.884
1237667323797373209,194.059416911716,27.8155839307608,0.022224,-306.141
1237667443511459955,194.060924012978,27.506304128918,0.024784,461.427
1237667443511459972,194.069535570244,27.4459829954475,0.021360,-565.048
1237667323797372988,194.08245276854,27.7510271761568,0.022975,-80.874
1237667324334243971,194.084928004506,28.0508128595757,0.025369,636.637
1237667442437783614,194.085383813419,26.7040313590662,0.021971,-382.069
1237665440441761843,194.090797571316,28.4869355600979,0.022009,-370.452
1237667443511459991,194.097327415816,27.5440494724868,0.024465,365.670
1237667323260567643,194.098972908212,27.2339823811432,0.020188,-916.485
1237667323797373132,194.109575922977,27.7272523511345,0.022763,-144.397
1237667323797373096,194.110932826373,27.8306382538767,0.020911,-699.810
1237667322723696662,194.116059801409,26.987420225191,0.021496,-524.480
1237667324334243995,194.118591402632,28.0825391911429,0.023268,6.977
1237667323260567649,194.119066277425,27.2912677276214,0.025071,547.416
1237667253482422453,194.119676862082,29.1370509634724,0.031634,2514.804
1237667322723696663,194.121380149926,26.9569993866145,0.023498,75.900
1237667444048330864,194.124219418222,27.9400025531362,0.022131,-333.833
1237667442974654493,194.133499902156,27.0555849073229,0.020410,-849.839
1237667323797438564,194.142351917061,27.6873365933424,0.022948,-89.130
1237667443511525379,194.142438342425,27.5389547717013,0.023656,123.348
1237667323260567703,194.144334572854,27.2275564090541,0.023983,221.206
1237667444585201702,194.146630819601,28.275457472547,0.024334,326.520
1237667323797438566,194.149697837858,27.7188281246014,0.022424,-246.185
1237667322723696863,194.150056654307,26.9047714864538,0.026334,926.135
1237667444048331125,194.153739337929,27.8848868210671,0.021065,-653.439
1237667324334309419,194.160013892501,28.1062736451537,0.021602,-492.462
1237667443511525478,194.160189201815,27.5709432176904,0.025372,637.531
1237667324334309429,194.161868511555,28.0811502737051,0.027047,1139.719
1237667324334309417,194.168085558173,28.2177576773639,0.027723,1342.430
1237667443511525488,194.170546071633,27.4477507391494,0.024455,362.696
1237667443511525482,194.176611798043,27.5482587383269,0.025318,621.567
1237667444048396291,194.178572371366,28.0204514262826,0.020867,-712.851
1237667442437783651,194.179997750107,26.7419660285757,0.023175,-20.885
1237667442974654645,194.181321571822,27.0347577597302,0.018717,-1357.537
1237667442974654524,194.181323733689,27.1787951884456,0.025310,619.147
1237667324334309460,194.191122151059,28.051618755511,0.023082,-48.856
1237667442974654799,194.195850209883,27.0569299360666,0.021674,-470.970
1237667323260567605,194.197547650819,27.2922699695345,0.026169,876.714
1237667443511525502,194.199045299034,27.4209916267466,0.025918,801.265
1237667324334309470,194.199411293285,28.1921139209592,0.019413,-1148.873
1237667442974654664,194.206891814416,27.0939123077021,0.023081,-49.144
1237665440978698320,194.210894458443,28.9298324817892,0.026997,1124.810
1237667323797438604,194.211692146591,27.6278394269678,0.026981,1120.017
1237667322723696789,194.213206433333,26.8988800476439,0.020753,-747.184
1237667324334309600,194.218220501084,28.1881146802889,0.021632,-483.666
1237667444048396324,194.221407959797,27.9294970525839,0.020410,-850.015
1237667443511525535,194.233049649159,27.4623903055484,0.025394,644.276
1237667252945616923,194.235743506241,28.6233763265514,0.021857,-416.204
1237667253482487860,194.256748291514,29.0626212590475,0.025027,534.279
1237667323260633139,194.257087628182,27.372084200323,0.023359,34.072
1237667323797438654,194.260775015209,27.6566843695881,0.022664,-174.265
1237667323797438642,194.267666475023,27.7300401263326,0.029639,1916.937
1237667443511525555,194.268082476162,27.5259390435087,0.027704,1336.683
1237667323797438634,194.268935737416,27.7730112532035,0.025128,564.534
1237667324334309497,194.270202278183,28.2096830677345,0.017175,-1819.646
1237667323797438661,194.270423824062,27.6773752119004,0.026085,851.451
1237667444585267373,194.277258598182,28.2965994597757,0.022509,-220.541
1237665440978698520,194.279134612015,28.9583704880279,0.027479,1269.439
1237667323260633162,194.281937657411,27.3405503099274,0.024335,326.907
1237667443511525432,194.289229748175,27.4664033989554,0.024850,481.225
1237667443511591123,194.294813548489,27.4049023685192,0.020678,-769.668
1237667253482487930,194.297487405865,29.0450815511018,0.024955,512.730
1237667442974720099,194.29982111634,27.1033357393338,0.024506,378.039
1237667323260633183,194.308617216578,27.2537479879091,0.017479,-1728.596
1237667323797504287,194.313778975464,27.7298272736429,0.019222,-1206.199
1237667323797504020,194.319932275213,27.6184523807869,0.024162,275.007
1237667444585267347,194.3238446501,28.4388242675785,0.023042,-60.800
1237667323797504147,194.324192435811,27.8109217672694,0.023832,175.961
1237667323797504296,194.326051271511,27.747358024387,0.022876,-110.508
1237667442974720027,194.327299559175,26.9795703871009,0.024348,330.528
1237667322723762338,194.329092886758,26.937621541558,0.025561,694.353
1237667323797504157,194.331643479035,27.6137850865887,0.025896,794.802
1237667442974720035,194.339534742142,27.0229899770861,0.026718,1041.108
1237667443511590959,194.34043409958,27.4748529655504,0.023168,-22.951
1237667444048461836,194.34058566385,27.8804298329713,0.024809,468.841
1237667442974720048,194.345500492722,26.9877482068734,0.027840,1377.679
1237667443511590954,194.345509774336,27.4929754042259,0.027485,1271.187
1237667323797504163,194.347770721071,27.7662785222983,0.030444,2158.297
1237667443511591026,194.348199876531,27.5499354868852,0.020140,-930.950
1237667443511590952,194.351489490412,27.4978156080583,0.024478,369.765
1237665440441892904,194.354394745362,28.4958928406158,0.023948,210.686
1237667443511591044,194.35519928743,27.4045700201824,0.016175,-2119.502
1237667443511591025,194.357667652825,27.5461337984977,0.018571,-1401.163
1237667323797504185,194.358832303792,27.6593995831894,0.016860,-1914.054
1237667444585267360,194.364527373252,28.439699568601,0.025927,804.056
1237667323797504196,194.364626812105,27.6362551509885,0.026824,1072.868
1237667323797504193,194.367263593688,27.7007661438191,0.021551,-507.931
1237667324334374925,194.36846399274,28.1764273673947,0.027250,1200.517
1237667324334374924,194.3749669616,28.1880718222029,0.023128,-35.000
1237667443511591179,194.377462830348,27.543025825033,0.025522,682.703
1237667444048461844,194.380146176297,28.0184243481082,0.023515,80.834
1237665440441892891,194.383142672062,28.4769425522129,0.022568,-203.072
1237667323797504055,194.386815981333,27.6103468882452,0.020128,-934.476
1237665440441892890,194.391191533255,28.4822571614252,0.020874,-710.699
1237667323260633230,194.394538616261,27.3103214640806,0.024847,480.239
1237667443511590950,194.39938792717,27.4932347410149,0.024387,342.412
1237667443511590951,194.400550649932,27.4848117994848,0.024131,265.467
1237667324334375129,194.401130923952,28.2334014078232,0.022751,-148.213
1237667324334375054,194.401851097404,28.0770428265329,0.022486,-227.433
1237667442974720162,194.402256994964,27.0313687905942,0.024526,384.008
1237667324334375073,194.40496564219,28.0403833913442,0.021449,-538.381
1237667322723827726,194.429307970786,26.8523831981815,0.021254,-596.943
1237667443511591211,194.430132034307,27.5775942925071,0.024110,259.289
1237665440978763910,194.432145190006,29.0032030641904,0.023080,-49.369
1237665440978763913,194.43379526901,29.0203757207111,0.026421,952.067
1237667444048461951,194.438760209091,27.9059772049761,0.027023,1132.611
1237667253482553501,194.440296962121,29.1300011258294,0.024917,501.131
1237667443511591229,194.440607895851,27.429337548964,0.027810,1368.437
1237667323797504242,194.442321586703,27.7570277744987,0.020449,-838.330
1237667324334375082,194.444608381974,28.1407845899127,0.021386,-557.421
1237667253482553389,194.445986193128,29.1495116568507,0.023857,183.366
1237667444048461897,194.447097179312,27.8333090223157,0.020188,-916.575
