Family,Parameter,ZModel_at_z1,BEff,DeltaZOverZ,DilationSigma,GdaggerFactor,Viable
γ = a^0.5,0.50,0.4142,0.500,0.5858,10.0,0.500,0
γ = a^0.75,0.75,0.6818,0.750,0.3182,5.0,0.750,0
γ = a^1,1.00,1.0000,1.000,0.0000,0.0,1.000,1
γ = a^1.25,1.25,1.3784,1.250,0.3784,5.0,1.250,0
γ = a^1.5,1.50,1.8284,1.500,0.8284,10.0,1.500,0
γ = a·(1-0.2z),-0.20,1.5000,1.502,0.5000,10.0,1.502,0
γ = a·(1-0.1z),-0.10,1.2222,1.223,0.2222,4.5,1.223,0
γ = a·(1+0.0z),0.00,1.0000,1.000,0.0000,0.0,1.000,1
γ = a·(1+0.1z),0.10,0.8182,0.818,0.1818,3.6,0.818,0
γ = a·(1+0.2z),0.20,0.6667,0.666,0.3333,6.7,0.666,0
γ = a·exp(-0.2z),-0.20,1.4428,1.401,0.4428,8.0,1.401,0
γ = a·exp(-0.1z),-0.10,1.2103,1.200,0.2103,4.0,1.200,0
γ = a·exp(+0.0z),0.00,1.0000,1.000,0.0000,0.0,1.000,1
γ = a·exp(+0.1z),0.10,0.8097,0.800,0.1903,4.0,0.800,0
γ = a·exp(+0.2z),0.20,0.6375,0.599,0.3625,8.0,0.599,0
γ = a/(1-0.2z),-0.20,0.6000,0.498,0.4000,10.0,0.498,0
γ = a/(1-0.1z),-0.10,0.8000,0.777,0.2000,4.5,0.777,0
γ = a/(1+0.0z),0.00,1.0000,1.000,0.0000,0.0,1.000,1
γ = a/(1+0.1z),0.10,1.2000,1.182,0.2000,3.6,1.182,0
γ = a/(1+0.2z),0.20,1.4000,1.334,0.4000,6.7,1.334,0
