Model,z,HEvent,HLambda,Ratio
N = a (FLRW),0.0,2.18E-018,2.18E-018,1.000
N = a (FLRW),0.5,2.89E-018,2.89E-018,1.000
N = a (FLRW),1.0,3.91E-018,3.91E-018,1.000
N = a (FLRW),2.0,6.62E-018,6.62E-018,1.000
N = a (FLRW),4.0,1.38E-017,1.38E-017,1.000
N ∝ t (linear),0.0,2.30E-018,2.18E-018,1.051
N ∝ t (linear),0.5,3.44E-018,2.89E-018,1.193
N ∝ t (linear),1.0,4.59E-018,3.91E-018,1.174
N ∝ t (linear),2.0,6.89E-018,6.62E-018,1.040
N ∝ t (linear),4.0,1.15E-017,1.38E-017,0.830
N ∝ t^n (n=2),0.0,4.59E-018,2.18E-018,2.103
N ∝ t^n (n=2),0.5,5.62E-018,2.89E-018,1.948
N ∝ t^n (n=2),1.0,6.49E-018,3.91E-018,1.661
N ∝ t^n (n=2),2.0,7.95E-018,6.62E-018,1.201
N ∝ t^n (n=2),4.0,1.03E-017,1.38E-017,0.743
N ∝ e^{λt} (exponential),0.0,2.18E-018,2.18E-018,1.000
N ∝ e^{λt} (exponential),0.5,2.18E-018,2.89E-018,0.756
N ∝ e^{λt} (exponential),1.0,2.18E-018,3.91E-018,0.559
N ∝ e^{λt} (exponential),2.0,2.18E-018,6.62E-018,0.330
N ∝ e^{λt} (exponential),4.0,2.18E-018,1.38E-017,0.158
N ∝ ln t (saturation),0.0,2.18E-018,2.18E-018,1.000
N ∝ ln t (saturation),0.5,4.65E-018,2.89E-018,1.611
N ∝ ln t (saturation),1.0,7.39E-018,3.91E-018,1.890
N ∝ ln t (saturation),2.0,1.32E-017,6.62E-018,1.995
N ∝ ln t (saturation),4.0,2.53E-017,1.38E-017,1.832
