Object,z,FGasLocal,SFactor,SigmaStellar,SigmaGas,SigmaIncl,SigmaRc,SigmaRadius,SigmaIntrinsic,SigmaTotal
COS4_01351,1.0652,0.439,1.02,0.086,0.134,0.100,0.070,0.102,0.100,0.246
COS4_02355,1.8169,0.732,1.14,0.046,0.250,0.100,0.070,0.114,0.100,0.320
COS4_02887,1.9721,0.668,1.22,0.061,0.244,0.100,0.070,0.122,0.100,0.321
COS4_03894,0.5550,0.003,1.74,0.260,0.001,0.100,0.070,0.174,0.100,0.350
COS4_05215,0.5529,0.641,1.08,0.058,0.207,0.100,0.070,0.108,0.100,0.288
COS4_05415,1.9815,0.681,1.14,0.054,0.233,0.100,0.070,0.114,0.100,0.308
COS4_05706,1.9721,0.850,1.75,0.039,0.446,0.100,0.070,0.175,0.100,0.506
COS4_05974,1.8169,0.763,1.60,0.057,0.366,0.100,0.070,0.160,0.100,0.433
COS4_06179,1.8149,0.643,2.35,0.126,0.452,0.100,0.070,0.235,0.100,0.548
COS4_06483,0.5683,0.008,1.01,0.151,0.002,0.100,0.070,0.101,0.100,0.241
COS4_06977,1.8152,0.001,1.13,0.169,0.000,0.100,0.070,0.113,0.100,0.257
COS4_07201,0.5390,0.613,1.03,0.060,0.190,0.100,0.070,0.103,0.100,0.274
COS4_09601,1.0614,0.258,1.06,0.118,0.082,0.100,0.070,0.106,0.100,0.238
COS4_09677,1.9738,0.000,2.10,0.315,0.000,0.100,0.070,0.210,0.100,0.410
COS4_09745,1.8179,0.794,1.04,0.032,0.249,0.100,0.070,0.104,0.100,0.314
COS4_10860,1.0611,0.802,4.35,0.129,1.046,0.100,0.070,0.435,0.100,1.151
COS4_11363,3.9405,0.150,1.14,0.145,0.051,0.100,0.070,0.114,0.100,0.248
COS4_11606,1.8221,0.805,1.13,0.033,0.274,0.100,0.070,0.113,0.100,0.337
COS4_11827,1.7965,0.674,1.23,0.060,0.249,0.100,0.070,0.123,0.100,0.325
COS4_12157,1.8208,0.764,1.01,0.036,0.232,0.100,0.070,0.101,0.100,0.301
COS4_12656,1.8175,0.427,1.01,0.087,0.129,0.100,0.070,0.101,0.100,0.244
COS4_12883,0.5550,0.048,1.28,0.183,0.018,0.100,0.070,0.128,0.100,0.274
COS4_13786,0.5419,0.765,1.06,0.037,0.243,0.100,0.070,0.106,0.100,0.311
COS4_14160,0.7353,0.019,1.35,0.198,0.008,0.100,0.070,0.135,0.100,0.287
COS4_14331,0.5529,0.009,1.57,0.233,0.004,0.100,0.070,0.157,0.100,0.322
COS4_15820,1.9734,0.590,1.12,0.069,0.199,0.100,0.070,0.112,0.100,0.286
COS4_16172,1.0609,0.576,1.02,0.065,0.176,0.100,0.070,0.102,0.100,0.265
COS4_16369,1.8159,0.930,1.01,0.011,0.282,0.100,0.070,0.101,0.100,0.339
COS4_16501,1.7511,0.672,1.12,0.055,0.226,0.100,0.070,0.112,0.100,0.302
COS4_18435,1.8221,0.536,1.22,0.085,0.196,0.100,0.070,0.122,0.100,0.292
COS4_19499,3.9169,0.084,1.09,0.150,0.027,0.100,0.070,0.109,0.100,0.245
COS4_19630,1.7981,0.722,1.02,0.042,0.220,0.100,0.070,0.102,0.100,0.292
COS4_19667,1.0654,0.450,1.31,0.108,0.177,0.100,0.070,0.131,0.100,0.291
COS4_19796,1.8182,0.002,1.07,0.160,0.001,0.100,0.070,0.107,0.100,0.248
COS4_21072,0.5547,0.007,1.11,0.166,0.002,0.100,0.070,0.111,0.100,0.255
COS4_22205,0.5547,0.009,1.04,0.154,0.003,0.100,0.070,0.104,0.100,0.244
COS4_22217,0.5545,0.000,1.05,0.158,0.000,0.100,0.070,0.105,0.100,0.247
COS4_22437,0.5526,0.124,1.54,0.203,0.058,0.100,0.070,0.154,0.100,0.305
COS4_22686,0.5545,0.007,1.43,0.212,0.003,0.100,0.070,0.143,0.100,0.300
COS4_23070,0.5542,0.941,1.02,0.009,0.288,0.100,0.070,0.102,0.100,0.344
COS4_23287,1.8165,0.724,1.03,0.043,0.223,0.100,0.070,0.103,0.100,0.295
COS4_23391,1.8211,0.490,1.02,0.078,0.150,0.100,0.070,0.102,0.100,0.253
COS4_23890,0.5526,0.398,1.16,0.105,0.138,0.100,0.070,0.116,0.100,0.262
COS4_24878,1.8156,0.862,1.12,0.023,0.289,0.100,0.070,0.112,0.100,0.348
COS4_25147,1.8149,0.708,1.27,0.055,0.269,0.100,0.070,0.127,0.100,0.341
COS4_25855,1.0652,0.739,1.21,0.048,0.269,0.100,0.070,0.121,0.100,0.338
COS4_26338,1.8159,0.454,1.33,0.109,0.181,0.100,0.070,0.133,0.100,0.296
