Object,z,SNR,Inclination,VelocitySpan,Vmax,RcExtentRe,DiskChi2,VelRms,log_gdagger,log_err_dex,Purity,Rank,Gold
COS4_10860,1.0611,55.0,40.3,466,790,3.68,17431.8,132.0,-10.64,0.36,0.896,1,1
COS4_25855,1.0652,166.0,33.9,283,495,3.19,6582.5,81.1,-9.88,0.13,0.889,2,1
COS4_23391,1.8211,411.5,38.0,437,424,3.43,18290.7,135.2,-8.68,0.11,0.865,3,1
COS4_06977,1.8152,190.1,27.0,858,320,4.98,38945.3,197.3,-9.48,0.12,0.800,4,1
COS4_23890,0.5526,37.8,34.7,309,352,2.65,16609.1,128.9,-9.26,0.13,0.783,5,1
COS4_23070,0.5542,73.4,30.4,773,326,4.86,51121.6,226.1,-8.80,0.12,0.783,6,1
COS4_19667,1.0654,59.1,39.6,194,219,5.48,8544.8,92.4,-10.42,0.14,0.762,7,1
COS4_03894,0.5550,31.3,35.0,412,304,4.29,12881.6,113.5,-10.30,0.21,0.745,8,1
COS4_09745,1.8179,421.7,32.8,335,24,3.92,10926.3,104.5,-9.24,0.12,0.733,9,1
COS4_11606,1.8221,437.9,32.2,297,16,2.76,9478.6,97.4,-9.54,0.16,0.731,10,1
COS4_02355,1.8169,236.7,35.5,350,27,4.55,18538.2,136.2,-10.12,0.12,0.729,11,1
COS4_05974,1.8169,466.6,30.3,455,19,2.79,19124.8,138.3,-10.02,0.18,0.729,12,0
COS4_26338,1.8159,421.7,28.7,455,114,4.14,20320.8,142.6,-9.28,0.17,0.728,13,0
COS4_12157,1.8208,453.0,29.4,437,59,4.20,20968.6,144.8,-9.02,0.11,0.728,14,0
COS4_18435,1.8221,434.2,46.9,524,112,4.35,24911.9,157.8,-9.84,0.19,0.727,15,0
COS4_24878,1.8156,331.2,28.8,490,41,2.78,26001.6,161.3,-9.34,0.13,0.726,16,0
COS4_19796,1.8182,451.2,27.8,455,13,3.85,27352.0,165.4,-8.90,0.12,0.726,17,0
COS4_16369,1.8159,439.9,42.6,499,99,2.84,28760.0,169.6,-8.86,0.11,0.726,18,0
COS4_12656,1.8175,250.1,30.9,385,84,4.29,32567.2,180.5,-8.54,0.11,0.725,19,0
COS4_23287,1.8165,352.6,30.9,455,22,4.68,34655.1,186.2,-9.40,0.11,0.724,20,0
COS4_06179,1.8149,228.3,27.3,1068,181,3.51,56733.6,238.2,-10.22,0.29,0.721,21,0
COS4_19630,1.7981,252.4,29.5,810,97,3.76,79428.5,281.8,-8.72,0.11,0.718,22,0
COS4_11827,1.7965,273.4,30.4,1199,133,4.41,104356.3,323.0,-9.74,0.17,0.716,23,0
COS4_16172,1.0609,20.8,46.0,797,840,3.48,31969.6,178.8,-8.50,0.13,0.707,24,0
COS4_09601,1.0614,38.7,33.8,194,463,4.39,28785.7,169.7,-9.30,0.13,0.696,25,0
COS4_22437,0.5526,52.7,37.8,239,4,3.16,12174.6,110.3,-9.90,0.17,0.681,26,0
COS4_22205,0.5547,31.5,30.5,459,211,4.31,25333.2,159.2,-8.88,0.10,0.665,27,0
COS4_14331,0.5529,35.9,31.1,361,150,4.37,26969.3,164.2,-10.22,0.18,0.642,28,0
COS4_22217,0.5545,35.4,30.3,464,74,2.94,25555.6,159.9,-8.84,0.12,0.639,29,0
COS4_06483,0.5683,34.1,35.4,715,40,4.64,52876.8,229.9,-8.68,0.10,0.626,30,0
COS4_05706,1.9721,15.7,35.2,777,401,5.36,34967.4,187.0,-9.94,0.22,0.625,31,0
COS4_22686,0.5545,32.1,43.1,466,42,2.93,31955.6,178.8,-9.88,0.16,0.618,32,0
COS4_12883,0.5550,35.3,25.4,219,133,3.75,11443.9,107.0,-9.74,0.16,0.615,33,0
COS4_14160,0.7353,11.7,26.2,623,311,4.40,38939.7,197.3,-9.92,0.20,0.567,34,0
COS4_05215,0.5529,31.9,40.2,212,78,4.31,9723.6,98.6,-9.62,0.11,0.552,35,0
COS4_16501,1.7511,13.1,33.9,753,251,3.91,43272.4,208.0,-9.54,0.15,0.535,36,0
COS4_07201,0.5390,21.6,31.5,260,133,4.07,23978.0,154.8,-9.48,0.12,0.523,37,0
COS4_13786,0.5419,15.4,61.4,968,87,4.19,72875.4,270.0,-9.04,0.14,0.511,38,0
COS4_19499,3.9169,12.4,30.9,216,312,3.40,42846.5,207.0,-9.24,0.13,0.494,39,0
COS4_01351,1.0652,9.0,25.0,606,100,2.77,35697.2,188.9,-8.52,0.16,0.478,40,0
COS4_02887,1.9721,14.0,25.5,259,50,4.46,25705.0,160.3,-10.28,0.14,0.476,41,0
COS4_05415,1.9815,18.4,28.8,237,199,3.43,104378.5,323.1,-9.50,0.16,0.474,42,0
COS4_15820,1.9734,11.5,32.1,259,64,3.33,11247.3,106.1,-9.56,0.14,0.467,43,0
COS4_11363,3.9405,8.0,29.2,1156,146,4.04,99781.3,315.9,-8.86,0.17,0.465,44,0
COS4_09677,1.9738,16.0,25.4,65,231,3.97,62271.6,249.5,-10.40,0.30,0.320,45,0
