LogHH0,AgeGyr,Chemistry,Stars,Galaxies,ComplexLife
-6.0,13800000.00,1,1,1,1
-5.9,10961729.64,1,1,1,1
-5.8,8707211.35,1,1,1,1
-5.7,6916383.82,1,1,1,1
-5.6,5493878.95,1,1,1,1
-5.5,4363943.17,1,1,1,1
-5.4,3466403.28,1,1,1,1
-5.3,2753461.99,1,1,1,1
-5.2,2187152.61,1,1,1,1
-5.1,1737317.07,1,1,1,1
-5.0,1380000.00,1,1,1,1
-4.9,1096172.96,1,1,1,1
-4.8,870721.14,1,1,1,1
-4.7,691638.38,1,1,1,1
-4.6,549387.90,1,1,1,1
-4.5,436394.32,1,1,1,1
-4.4,346640.33,1,1,1,1
-4.3,275346.20,1,1,1,1
-4.2,218715.26,1,1,1,1
-4.1,173731.71,1,1,1,1
-4.0,138000.00,1,1,1,1
-3.9,109617.30,1,1,1,1
-3.8,87072.11,1,1,1,1
-3.7,69163.84,1,1,1,1
-3.6,54938.79,1,1,1,1
-3.5,43639.43,1,1,1,1
-3.4,34664.03,1,1,1,1
-3.3,27534.62,1,1,1,1
-3.2,21871.53,1,1,1,1
-3.1,17373.17,1,1,1,1
-3.0,13800.00,1,1,1,1
-2.9,10961.73,1,1,1,1
-2.8,8707.21,1,1,1,1
-2.7,6916.38,1,1,1,1
-2.6,5493.88,1,1,1,1
-2.5,4363.94,1,1,1,1
-2.4,3466.40,1,1,1,1
-2.3,2753.46,1,1,1,1
-2.2,2187.15,1,1,1,1
-2.1,1737.32,1,1,1,1
-2.0,1380.00,1,1,1,1
-1.9,1096.17,1,1,1,1
-1.8,870.72,1,1,1,1
-1.7,691.64,1,1,1,1
-1.6,549.39,1,1,1,1
-1.5,436.39,1,1,1,1
-1.4,346.64,1,1,1,1
-1.3,275.35,1,1,1,1
-1.2,218.72,1,1,1,1
-1.1,173.73,1,1,1,1
-1.0,138.00,1,1,1,1
-0.9,109.62,1,1,1,1
-0.8,87.07,1,1,1,1
-0.7,69.16,1,1,1,1
-0.6,54.94,1,1,1,1
-0.5,43.64,1,1,1,1
-0.4,34.66,1,1,1,1
-0.3,27.53,1,1,1,1
-0.2,21.87,1,1,1,1
-0.1,17.37,1,1,1,1
0.0,13.80,1,1,1,1
0.1,10.96,1,1,1,1
0.2,8.71,1,1,1,1
0.3,6.92,1,1,1,1
0.4,5.49,1,1,1,1
0.5,4.36,1,1,1,1
0.6,3.47,1,1,1,1
0.7,2.75,1,1,1,0
0.8,2.19,1,1,1,0
0.9,1.74,1,1,1,0
1.0,1.38,1,1,1,0
1.1,1.10,1,1,1,0
1.2,0.87,1,1,1,0
1.3,0.69,1,1,1,0
1.4,0.55,1,1,1,0
1.5,0.44,1,1,0,0
1.6,0.35,1,1,0,0
1.7,0.28,1,1,0,0
1.8,0.22,1,1,0,0
1.9,0.17,1,1,0,0
2.0,0.14,1,1,0,0
2.1,0.11,1,1,0,0
2.2,0.09,1,0,0,0
2.3,0.07,1,0,0,0
2.4,0.05,1,0,0,0
2.5,0.04,1,0,0,0
2.6,0.03,1,0,0,0
2.7,0.03,1,0,0,0
2.8,0.02,1,0,0,0
2.9,0.02,1,0,0,0
3.0,0.01,1,0,0,0
3.1,0.01,1,0,0,0
3.2,0.01,0,0,0,0
3.3,0.01,0,0,0,0
3.4,0.01,0,0,0,0
3.5,0.00,0,0,0,0
3.6,0.00,0,0,0,0
3.7,0.00,0,0,0,0
3.8,0.00,0,0,0,0
3.9,0.00,0,0,0,0
4.0,0.00,0,0,0,0
4.1,0.00,0,0,0,0
4.2,0.00,0,0,0,0
4.3,0.00,0,0,0,0
4.4,0.00,0,0,0,0
4.5,0.00,0,0,0,0
4.6,0.00,0,0,0,0
4.7,0.00,0,0,0,0
4.8,0.00,0,0,0,0
4.9,0.00,0,0,0,0
5.0,0.00,0,0,0,0
5.1,0.00,0,0,0,0
5.2,0.00,0,0,0,0
5.3,0.00,0,0,0,0
5.4,0.00,0,0,0,0
5.5,0.00,0,0,0,0
5.6,0.00,0,0,0,0
5.7,0.00,0,0,0,0
5.8,0.00,0,0,0,0
5.9,0.00,0,0,0,0
6.0,0.00,0,0,0,0
