Object,z,SNR,Inclination,Vmax,VelocitySpan,gdagger_m_s2,gdagger_err_m_s2,log_gdagger,log_err_dex,Npoints,Class,Constrained
COS4_00779,1.0660,343.5,64.3,227.0,717,7.586E-012,6.827E-011,-11.12,1.00,9,usable,0
COS4_15095,0.5550,27.5,55.9,124.9,978,6.918E-009,1.791E-009,-8.16,0.10,12,usable,0
COS4_18435,1.8221,434.2,46.9,111.8,524,1.445E-010,7.933E-011,-9.84,0.19,9,usable,1
COS4_16172,1.0609,20.8,46.0,839.6,797,3.162E-009,1.104E-009,-8.50,0.13,9,usable,1
COS4_02097,1.0649,40.0,73.4,585.3,698,1.000E-008,9.000E-008,-8.00,1.00,7,usable,0
COS4_06487,0.5545,47.9,44.3,49.5,412,1.000E-013,9.000E-013,-13.00,1.00,10,usable,0
COS4_12891,1.7994,141.5,43.5,91.8,933,1.000E-008,9.000E-008,-8.00,1.00,13,usable,0
COS4_22686,0.5545,32.1,43.1,42.3,466,1.318E-010,5.872E-011,-9.88,0.16,10,usable,1
COS4_16369,1.8159,439.9,42.6,99.0,499,1.380E-009,3.979E-010,-8.86,0.11,11,usable,1
COS4_11343,1.7981,130.8,40.9,474.2,828,9.550E-009,1.415E-009,-8.02,0.06,13,usable,0
COS4_05215,0.5529,31.9,40.2,78.1,212,2.399E-010,6.915E-011,-9.62,0.11,13,usable,1
COS4_10860,1.0611,55.0,40.3,790.3,466,2.291E-011,2.957E-011,-10.64,0.36,13,usable,1
COS4_19667,1.0654,59.1,39.6,219.3,194,3.802E-011,1.446E-011,-10.42,0.14,14,usable,1
COS4_12699,0.5531,39.5,39.3,263.5,258,1.000E-013,9.000E-013,-13.00,1.00,12,usable,0
COS4_13890,1.7751,160.8,39.2,95.0,888,1.000E-013,9.000E-013,-13.00,1.00,13,usable,0
COS4_23391,1.8211,411.5,38.0,424.3,437,2.089E-009,6.022E-010,-8.68,0.11,11,usable,1
COS4_22437,0.5526,52.7,37.8,4.0,239,1.259E-010,6.032E-011,-9.90,0.17,13,usable,1
COS4_24021,1.0649,32.8,37.3,1010.5,582,7.244E-009,2.088E-009,-8.14,0.11,12,usable,0
COS4_21622,1.8060,331.3,36.8,203.1,816,1.000E-008,9.000E-008,-8.00,1.00,12,usable,0
COS4_20449,1.8379,165.1,36.6,338.9,570,6.918E-009,1.994E-009,-8.16,0.11,11,usable,0
COS4_04596,0.5550,33.4,36.3,235.9,412,1.000E-013,9.000E-013,-13.00,1.00,12,usable,0
COS4_02355,1.8169,236.7,35.5,26.7,350,7.586E-011,2.414E-011,-10.12,0.12,12,usable,1
COS4_06483,0.5683,34.1,35.4,40.0,715,2.089E-009,5.410E-010,-8.68,0.10,13,usable,1
COS4_03894,0.5550,31.3,35.0,303.5,412,5.012E-011,3.116E-011,-10.30,0.21,12,usable,1
COS4_21072,0.5547,32.4,34.7,0.0,747,5.495E-010,1.584E-010,-9.26,0.11,13,usable,1
COS4_23890,0.5526,37.8,34.7,352.5,309,5.495E-010,1.918E-010,-9.26,0.13,12,usable,1
COS4_08096,1.0614,29.5,34.0,303.9,194,1.000E-013,9.000E-013,-13.00,1.00,11,usable,0
COS4_09601,1.0614,38.7,33.8,463.1,194,5.012E-010,1.749E-010,-9.30,0.13,11,usable,1
COS4_25855,1.0652,166.0,33.9,494.8,283,1.318E-010,4.600E-011,-9.88,0.13,13,usable,1
COS4_05334,1.8014,205.3,33.6,529.8,1173,1.000E-008,9.000E-008,-8.00,1.00,14,usable,0
COS4_05588,1.8192,259.5,33.4,472.0,593,1.000E-013,9.000E-013,-13.00,1.00,13,usable,0
COS4_20565,0.5764,11.4,46.0,168.5,1905,1.000E-008,9.000E-008,-8.00,1.00,8,usable,0
COS4_09745,1.8179,421.7,32.8,23.9,335,5.754E-010,1.831E-010,-9.24,0.12,12,usable,1
COS4_10048,1.8215,448.6,32.8,117.8,367,6.918E-012,6.226E-011,-11.16,1.00,8,usable,0
COS4_25147,1.8149,387.3,32.8,0.0,595,1.445E-010,5.498E-011,-9.84,0.14,11,usable,1
COS4_11606,1.8221,437.9,32.2,15.7,297,2.884E-010,1.285E-010,-9.54,0.16,7,usable,1
COS4_18358,1.7902,150.0,31.9,64.8,1042,1.000E-008,9.000E-008,-8.00,1.00,12,usable,0
COS4_25850,1.8182,440.5,31.7,711.1,1089,1.000E-008,9.000E-008,-8.00,1.00,12,usable,0
COS4_07201,0.5390,21.6,31.5,133.2,260,3.311E-010,1.054E-010,-9.48,0.12,12,usable,1
