ObjectId,Redshift,Band,ExposureMinutes,EmissionLine,EstimatedZ,SNR,AxisRatio,Inclination,KinematicScore
COS4_00779,1.0660,YJ,230.0,H-alpha,1.0660,343.5,0.454,64.3,93.9
COS4_15095,0.5550,YJ,695.0,H-alpha,0.5550,27.5,0.574,55.9,92.2
COS4_18435,1.8221,H,895.0,H-alpha,1.8221,434.2,0.692,46.9,90.4
COS4_16172,1.0609,YJ,545.0,H-alpha,1.0609,20.8,0.703,46.0,90.2
COS4_02097,1.0649,YJ,230.0,H-alpha,1.0649,40.0,0.320,73.4,85.7
COS4_06487,0.5545,YJ,370.0,H-alpha,0.5545,47.9,0.723,44.3,84.7
COS4_12891,1.7994,H,560.0,H-alpha,1.7994,141.5,0.733,43.5,84.4
COS4_22686,0.5545,YJ,165.0,H-alpha,0.5545,32.1,0.737,43.1,84.2
COS4_16369,1.8159,H,465.0,H-alpha,1.8159,439.9,0.743,42.6,84.0
COS4_11343,1.7981,H,560.0,H-alpha,1.7981,130.8,0.762,40.9,83.4
COS4_21318,0.5547,YJ,515.0,H-alpha,0.5547,40.9,0.766,40.6,83.2
COS4_05215,0.5529,YJ,285.0,H-alpha,0.5529,31.9,0.770,40.2,83.1
COS4_10860,1.0611,YJ,230.0,H-alpha,1.0611,55.0,0.769,40.3,83.1
COS4_19667,1.0654,YJ,725.0,H-alpha,1.0654,59.1,0.776,39.6,82.8
COS4_12699,0.5531,YJ,320.0,H-alpha,0.5531,39.5,0.779,39.3,82.7
COS4_13890,1.7751,H,505.0,H-alpha,1.7751,160.8,0.780,39.2,82.7
COS4_23391,1.8211,H,890.0,H-alpha,1.8211,411.5,0.794,38.0,82.2
COS4_22437,0.5526,YJ,255.0,H-alpha,0.5526,52.7,0.796,37.8,82.1
COS4_24021,1.0649,YJ,255.0,H-alpha,1.0649,32.8,0.800,37.3,81.9
COS4_21622,1.8060,H,1210.0,H-alpha,1.8060,331.3,0.806,36.8,81.7
COS4_20449,1.8379,H,1165.0,H-alpha,1.8379,165.1,0.808,36.6,81.6
COS4_04596,0.5550,YJ,285.0,H-alpha,0.5550,33.4,0.811,36.3,81.5
COS4_02355,1.8169,H,470.0,H-alpha,1.8169,236.7,0.819,35.5,81.2
COS4_06483,0.5683,YJ,550.0,H-alpha,0.5683,34.1,0.820,35.4,81.1
COS4_03894,0.5550,YJ,285.0,H-alpha,0.5550,31.3,0.824,35.0,81.0
COS4_21072,0.5547,YJ,480.0,H-alpha,0.5547,32.4,0.827,34.7,80.9
COS4_23890,0.5526,YJ,255.0,H-alpha,0.5526,37.8,0.827,34.7,80.9
COS4_08096,1.0614,YJ,230.0,H-alpha,1.0614,29.5,0.833,34.0,80.6
COS4_09601,1.0614,YJ,230.0,H-alpha,1.0614,38.7,0.835,33.8,80.5
COS4_25855,1.0652,YJ,255.0,H-alpha,1.0652,166.0,0.835,33.9,80.5
COS4_05334,1.8014,H,850.0,H-alpha,1.8014,205.3,0.837,33.6,80.4
COS4_05588,1.8192,H,370.0,H-alpha,1.8192,259.5,0.839,33.4,80.3
COS4_20565,0.5764,YJ,880.0,H-alpha,0.5764,11.4,0.703,46.0,80.2
COS4_09745,1.8179,H,560.0,H-alpha,1.8179,421.7,0.845,32.8,80.1
COS4_10048,1.8215,H,505.0,H-alpha,1.8215,448.6,0.845,32.8,80.1
COS4_25147,1.8149,H,380.0,H-alpha,1.8149,387.3,0.844,32.8,80.1
COS4_11606,1.8221,H,505.0,H-alpha,1.8221,437.9,0.850,32.2,79.9
COS4_18358,1.7902,H,975.0,H-alpha,1.7902,150.0,0.853,31.9,79.7
COS4_25850,1.8182,H,595.0,H-alpha,1.8182,440.5,0.855,31.7,79.7
COS4_07201,0.5390,YJ,320.0,H-alpha,0.5390,21.6,0.856,31.5,79.6
COS4_16547,1.8054,H,915.0,H-alpha,1.8054,365.6,0.859,31.2,79.5
COS4_24028,1.0537,YJ,480.0,H-alpha,1.0537,31.2,0.859,31.2,79.5
COS4_12656,1.8175,H,1025.0,H-alpha,1.8175,250.1,0.861,30.9,79.4
COS4_14331,0.5529,YJ,320.0,H-alpha,0.5529,35.9,0.860,31.1,79.4
COS4_10613,0.5545,YJ,320.0,H-alpha,0.5545,23.6,0.862,30.8,79.3
COS4_17641,1.8057,H,590.0,H-alpha,1.8057,439.0,0.863,30.8,79.3
COS4_23139,1.0654,YJ,850.0,H-alpha,1.0654,45.9,0.862,30.8,79.3
COS4_23287,1.8165,H,1295.0,H-alpha,1.8165,352.6,0.862,30.9,79.3
COS4_11827,1.7965,H,370.0,H-alpha,1.7965,273.4,0.866,30.4,79.2
COS4_22205,0.5547,YJ,650.0,H-alpha,0.5547,31.5,0.865,30.5,79.2
COS4_23070,0.5542,YJ,535.0,H-alpha,0.5542,73.4,0.866,30.4,79.2
COS4_05974,1.8169,H,370.0,H-alpha,1.8169,466.6,0.867,30.3,79.1
COS4_07337,1.8261,H,1065.0,H-alpha,1.8261,52.4,0.868,30.2,79.1
COS4_22217,0.5545,YJ,165.0,H-alpha,0.5545,35.4,0.867,30.3,79.1
COS4_06452,1.8017,H,370.0,H-alpha,1.8017,128.7,0.871,29.8,78.9
COS4_13786,0.5419,YJ,625.0,H-alpha,0.5419,15.4,0.496,61.4,78.8
COS4_19630,1.7981,H,1165.0,H-alpha,1.7981,252.4,0.874,29.5,78.8
COS4_12157,1.8208,H,505.0,H-alpha,1.8208,453.0,0.875,29.4,78.7
COS4_17162,1.7991,H,595.0,H-alpha,1.7991,444.5,0.875,29.4,78.7
COS4_05499,1.8001,H,370.0,H-alpha,1.8001,165.8,0.879,28.8,78.5
COS4_18709,1.8024,H,595.0,H-alpha,1.8024,477.3,0.879,28.9,78.5
COS4_24878,1.8156,H,380.0,H-alpha,1.8156,331.2,0.879,28.8,78.5
COS4_26338,1.8159,H,595.0,H-alpha,1.8159,421.7,0.880,28.7,78.5
COS4_04484,1.8327,H,1065.0,H-alpha,1.8327,47.3,0.882,28.4,78.4
COS4_04536,1.8156,H,930.0,H-alpha,1.8156,207.0,0.882,28.5,78.4
COS4_13527,1.0625,YJ,315.0,H-alpha,1.0625,57.1,0.881,28.6,78.4
COS4_05103,1.8277,H,930.0,H-alpha,1.8277,75.2,0.885,28.1,78.3
COS4_12056,1.8179,H,665.0,H-alpha,1.8179,315.2,0.885,28.1,78.2
COS4_19049,1.7988,H,465.0,H-alpha,1.7988,407.1,0.886,28.0,78.2
COS4_13748,1.8165,H,505.0,H-alpha,1.8165,193.6,0.888,27.7,78.1
COS4_17997,1.8060,H,915.0,H-alpha,1.8060,415.8,0.887,27.8,78.1
COS4_19796,1.8182,H,1210.0,H-alpha,1.8182,451.2,0.887,27.8,78.1
COS4_20910,0.5547,YJ,100.0,H-alpha,0.5547,44.2,0.887,27.9,78.1
COS4_06179,1.8149,H,370.0,H-alpha,1.8149,228.3,0.891,27.3,77.9
COS4_06977,1.8152,H,930.0,H-alpha,1.8152,190.1,0.894,27.0,77.8
COS4_07392,1.0614,YJ,230.0,H-alpha,1.0614,27.1,0.896,26.7,77.7
COS4_12883,0.5550,YJ,120.0,H-alpha,0.5550,35.3,0.905,25.4,77.2
COS4_11696,1.8228,H,970.0,H-alpha,1.8228,165.6,0.910,24.9,76.9
COS4_03784,1.8152,H,1030.0,H-alpha,1.8152,190.7,0.912,24.5,76.8
COS4_13679,1.0649,YJ,320.0,H-alpha,1.0649,162.3,0.911,24.6,76.8
COS4_08958,1.8179,H,930.0,H-alpha,1.8179,448.1,0.913,24.3,76.7
COS4_10344,1.8152,H,930.0,H-alpha,1.8152,266.1,0.914,24.3,76.7
COS4_22809,1.8024,H,915.0,H-alpha,1.8024,315.8,0.914,24.3,76.7
COS4_08565,1.7952,H,1065.0,H-alpha,1.7952,107.9,0.918,23.7,76.5
COS4_09667,1.8103,H,505.0,H-alpha,1.8103,126.3,0.917,23.8,76.5
COS4_25477,1.8159,H,590.0,H-alpha,1.8159,426.2,0.918,23.6,76.4
COS4_13038,1.8198,H,970.0,H-alpha,1.8198,313.4,0.920,23.3,76.3
COS4_17808,1.8211,H,465.0,H-alpha,1.8211,475.9,0.922,23.1,76.3
COS4_18795,1.8225,H,830.0,H-alpha,1.8225,438.1,0.921,23.2,76.3
COS4_18952,1.7985,H,845.0,H-alpha,1.7985,337.2,0.922,23.0,76.2
COS4_03243,1.0625,YJ,230.0,H-alpha,1.0625,79.6,0.226,80.2,76.0
COS4_06827,1.0609,YJ,320.0,H-alpha,1.0609,21.0,0.925,22.5,76.0
COS4_13813,1.8175,H,465.0,H-alpha,1.8175,446.0,0.929,22.0,75.8
COS4_19780,0.5518,YJ,155.0,H-alpha,0.5518,236.5,0.929,22.0,75.8
COS4_12497,1.8149,H,930.0,H-alpha,1.8149,243.5,0.931,21.7,75.7
COS4_09252,1.8152,H,930.0,H-alpha,1.8152,143.9,0.931,21.6,75.6
COS4_21860,0.5547,YJ,415.0,H-alpha,0.5547,44.3,0.933,21.3,75.5
COS4_10060,1.8175,H,1065.0,H-alpha,1.8175,183.0,0.937,20.6,75.3
COS4_07033,1.0649,YJ,320.0,H-alpha,1.0649,46.4,0.940,20.2,75.1
COS4_11609,1.7991,H,465.0,H-alpha,1.7991,135.7,0.940,20.2,75.1
COS4_18969,1.7981,H,465.0,H-alpha,1.7981,386.2,0.940,20.1,75.1
COS4_14445,0.9313,YJ,635.0,H-alpha,0.9313,13.5,0.752,41.8,73.7
COS4_19680,1.9768,K,470.0,H-alpha,1.9768,12.7,0.818,35.6,71.2
COS4_05706,1.9721,K,520.0,H-alpha,1.9721,15.7,0.822,35.2,71.1
COS4_19753,1.9734,K,475.0,H-alpha,1.9734,16.3,0.820,35.4,71.1
COS4_12995,1.9730,K,995.0,H-alpha,1.9730,14.4,0.828,34.6,70.8
COS4_16501,1.7511,H,465.0,H-alpha,1.7511,13.1,0.834,33.9,70.6
COS4_17600,1.9798,K,945.0,H-alpha,1.9798,12.7,0.833,34.0,70.6
COS4_24763,1.9700,K,495.0,H-alpha,1.9700,10.3,0.839,33.4,70.4
COS4_08854,0.5657,YJ,285.0,H-alpha,0.5657,16.3,0.847,32.5,70.0
COS4_15820,1.9734,K,470.0,H-alpha,1.9734,11.5,0.851,32.1,69.8
COS4_12577,1.9768,K,525.0,H-alpha,1.9768,14.0,0.854,31.8,69.7
COS4_19499,3.9169,K,490.0,[OIII] 5007,3.9169,12.4,0.861,30.9,69.4
COS4_22564,1.9700,K,285.0,H-alpha,1.9700,10.8,0.872,29.7,68.9
COS4_22995,1.9897,K,475.0,H-alpha,1.9897,12.0,0.873,29.6,68.8
COS4_05415,1.9815,K,520.0,H-alpha,1.9815,18.4,0.879,28.8,68.5
COS4_19090,1.9644,K,965.0,H-alpha,1.9644,6.9,0.589,54.8,68.5
COS4_16609,1.9713,K,490.0,H-alpha,1.9713,14.1,0.884,28.2,68.3
COS4_26659,0.5526,YJ,100.0,H-alpha,0.5526,13.9,0.885,28.1,68.2
COS4_14160,0.7353,YJ,610.0,H-alpha,0.7353,11.7,0.899,26.2,67.5
COS4_02887,1.9721,K,520.0,H-alpha,1.9721,14.0,0.905,25.5,67.2
COS4_09677,1.9738,K,520.0,H-alpha,1.9738,16.0,0.905,25.4,67.2
COS4_05389,1.9850,K,525.0,H-alpha,1.9850,17.7,0.909,24.9,67.0
COS4_10740,0.7289,YJ,320.0,H-alpha,0.7289,13.7,0.939,20.4,65.2
COS4_05606,1.8014,H,505.0,H-alpha,1.8014,341.1,0.959,16.7,65.0
COS4_07757,1.8179,H,1065.0,H-alpha,1.8179,356.0,0.984,10.3,65.0
COS4_09356,1.8014,H,370.0,H-alpha,1.8014,340.0,0.953,17.8,65.0
COS4_09867,1.8175,H,560.0,H-alpha,1.8175,313.5,0.965,15.5,65.0
COS4_10750,1.8152,H,370.0,H-alpha,1.8152,169.1,0.943,19.6,65.0
COS4_17237,1.7994,H,320.0,H-alpha,1.7994,357.0,0.943,19.7,65.0
COS4_17519,1.7906,H,595.0,H-alpha,1.7906,298.4,0.944,19.5,65.0
COS4_18064,1.2085,H,320.0,H-alpha,1.2085,197.5,0.950,18.4,65.0
COS4_20595,1.7994,H,1165.0,H-alpha,1.7994,225.0,0.966,15.2,65.0
COS4_20631,1.8159,H,845.0,H-alpha,1.8159,375.8,0.974,13.3,65.0
COS4_24012,1.8004,H,595.0,H-alpha,1.8004,431.3,0.948,18.7,65.0
COS4_24738,1.7978,H,545.0,H-alpha,1.7978,384.2,0.972,13.7,65.0
COS4_02167,0.8274,YJ,230.0,H-alpha,0.8274,9.4,0.870,29.9,58.9
COS4_18859,3.8866,K,755.0,[OIII] 5007,3.8866,6.2,0.772,40.0,58.5
COS4_06820,2.9922,K,1045.0,[OIII] 5007,2.9922,6.6,0.818,35.6,58.2
COS4_20537,0.7254,YJ,335.0,H-alpha,0.7254,6.4,0.741,42.8,58.1
COS4_22929,0.8971,YJ,255.0,H-alpha,0.8971,5.5,0.802,37.2,57.9
COS4_21400,0.9332,YJ,200.0,H-alpha,0.9332,7.9,0.807,36.7,57.2
COS4_01351,1.0652,YJ,285.0,H-alpha,1.0652,9.0,0.909,25.0,57.0
COS4_16342,3.9377,K,945.0,[OIII] 5007,3.9377,8.7,0.912,24.6,56.8
COS4_11363,3.9405,K,995.0,[OIII] 5007,3.9405,8.0,0.876,29.2,56.2
COS4_03814,1.0513,YJ,285.0,H-alpha,1.0513,16.1,0.948,18.7,55.0
COS4_14596,1.9726,K,470.0,H-alpha,1.9726,16.4,0.946,19.2,55.0
COS4_16986,1.0609,YJ,335.0,H-alpha,1.0609,17.9,0.944,19.5,55.0
COS4_20347,1.0611,YJ,315.0,H-alpha,1.0611,15.2,0.959,16.7,55.0
COS4_21492,1.9768,K,470.0,H-alpha,1.9768,11.7,0.983,10.7,55.0
COS4_22414,1.0617,YJ,255.0,H-alpha,1.0617,16.9,0.952,18.1,55.0
COS4_25353,0.5422,YJ,255.0,H-alpha,0.5422,19.5,0.959,16.7,55.0
COS4_14530,0.7163,YJ,970.0,H-alpha,0.7163,5.6,0.870,29.9,54.5
COS4_27785,1.5601,YJ,200.0,H-beta,1.5601,5.1,0.800,37.3,53.9
COS4_13701,2.7602,K,470.0,H-alpha,2.7602,6.5,0.862,30.8,53.8
COS4_21541,3.8889,K,495.0,[OIII] 5007,3.8889,6.6,0.868,30.1,53.0
COS4_10393,0.7465,YJ,245.0,H-alpha,0.7465,5.4,0.813,36.1,52.4
COS4_24210,0.8646,YJ,680.0,H-alpha,0.8646,6.7,0.887,27.8,51.6
COS4_20839,0.5729,YJ,515.0,H-alpha,0.5729,5.2,0.877,29.1,51.1
COS4_27120,2.7110,K,475.0,H-alpha,2.7110,8.2,0.933,21.4,51.1
COS4_17628,0.7246,YJ,100.0,H-alpha,0.7246,9.7,0.921,23.2,50.8
COS4_15617,0.8841,YJ,500.0,H-alpha,0.8841,3.7,0.700,46.2,50.2
