Object,RA,DEC,z,StellarMass,StellarMassErr,SFR,Radius,SourceCatalog,SepArcsec,zPDF
COS4_00779,150.101108,2.190630,1.0660,8.913E+010,0.150,1.259E+000,7.46,COSMOS2015,0.16,0.8545
COS4_00937,150.128808,2.193230,0.7449,1.778E+011,0.150,2.512E+000,6.15,COSMOS2015,0.20,0.8499
COS4_00970,150.143342,2.192640,0.9540,1.778E+011,0.150,5.012E-001,5.72,COSMOS2015,0.02,0.8000
COS4_01351,150.142608,2.196970,1.0652,4.571E+010,0.150,3.981E+001,7.23,COSMOS2015,0.10,0.8568
COS4_01598,150.116804,2.196750,1.0543,3.162E+010,0.150,1.820E+001,5.37,COSMOS2015,0.04,0.9330
COS4_01670,150.135708,2.199410,0.6001,2.951E+010,0.150,3.715E+001,5.03,COSMOS2015,0.01,0.9240
COS4_01966,150.125871,2.199320,2.5758,3.548E+009,0.150,4.467E+001,5.36,COSMOS2015,0.16,2.4257
COS4_02097,150.113996,2.202880,1.0649,5.129E+010,0.150,1.047E+001,6.32,COSMOS2015,0.44,0.8061
COS4_02167,150.092187,2.204440,0.8274,2.754E+010,0.150,6.607E+001,7.82,COSMOS2015,0.25,0.8310
COS4_02355,150.147396,2.203210,1.8169,5.129E+009,0.150,1.622E+001,4.95,COSMOS2015,0.00,1.3792
COS4_02418,150.155458,2.205450,0.5999,2.754E+010,0.150,2.512E+001,4.30,COSMOS2015,0.01,0.7354
COS4_02567,150.110187,2.207600,0.6188,4.074E+010,0.150,3.388E+001,5.07,COSMOS2015,0.34,0.9079
COS4_02672,150.129471,2.207200,2.3443,2.291E+010,0.150,4.677E+001,5.81,COSMOS2015,0.13,2.1960
COS4_02887,150.096954,2.209170,1.9721,7.943E+009,0.150,1.905E+001,5.40,COSMOS2015,0.22,2.0373
COS4_03179,150.168067,2.211300,2.7798,6.310E+009,0.150,2.239E+001,4.24,COSMOS2015,0.11,2.2943
COS4_03206,150.132708,2.211860,2.0012,1.479E+011,0.150,2.818E+002,7.33,COSMOS2015,0.36,1.9875
COS4_03243,150.105892,2.213140,1.0625,4.266E+010,0.150,2.138E+001,6.09,COSMOS2015,0.41,0.9327
COS4_03324,150.148408,2.213130,2.0487,1.585E+010,0.150,3.388E+002,6.02,COSMOS2015,0.03,2.4817
COS4_03493,150.173858,2.215850,1.0433,3.548E+010,0.150,5.012E+000,5.49,COSMOS2015,0.05,0.6621
COS4_03700,150.170704,2.219240,0.7265,2.138E+011,0.150,3.467E+001,7.13,COSMOS2015,0.22,0.9656
COS4_03784,150.118392,2.216710,1.8152,1.862E+010,0.150,2.884E+001,4.75,COSMOS2015,0.05,1.5401
COS4_03814,150.200517,2.218310,1.0513,5.129E+010,0.150,9.772E+000,5.35,COSMOS2015,0.04,0.8624
COS4_03894,150.155183,2.218540,0.5550,3.981E+010,0.150,9.772E-002,4.03,COSMOS2015,0.05,0.8412
COS4_04327,150.118492,2.223090,1.0542,9.333E+010,0.150,7.079E-001,5.23,COSMOS2015,0.32,0.8351
COS4_04453,150.127050,2.223250,2.7118,2.291E+010,0.150,2.692E+001,4.66,COSMOS2015,0.10,2.2763
COS4_04484,150.153929,2.224570,1.8327,1.259E+011,0.150,3.981E+000,5.35,COSMOS2015,0.06,1.4664
COS4_04519,150.119342,2.224160,2.6763,3.631E+010,0.150,1.072E+002,4.94,COSMOS2015,0.03,2.2649
COS4_04536,150.138258,2.225020,1.8156,1.202E+011,0.150,3.090E+002,5.46,COSMOS2015,0.07,1.7410
COS4_04596,150.120942,2.227130,0.5550,1.698E+011,0.150,7.943E-001,5.06,COSMOS2015,0.01,0.6098
COS4_04669,150.073504,2.226380,0.9161,6.310E+010,0.150,3.162E+001,6.93,COSMOS2015,0.15,1.0327
COS4_04717,150.104979,2.226240,2.3084,2.570E+010,0.150,6.310E+002,5.38,COSMOS2015,0.02,2.5901
COS4_04930,150.120988,2.228790,2.0710,1.479E+010,0.150,1.585E+002,7.18,COSMOS2015,0.39,2.5033
COS4_04943,150.090396,2.230870,0.5654,4.169E+010,0.150,2.692E+001,5.72,COSMOS2015,0.30,0.7611
