Rank,Object,z,Purity,SNR,VelocitySpan,VelRms,DiskChi2,RcExtentRe
1,COS4_10860,1.0611,0.896,55.0,466,132.0,17431.8,3.68
2,COS4_25855,1.0652,0.889,166.0,283,81.1,6582.5,3.19
3,COS4_23391,1.8211,0.865,411.5,437,135.2,18290.7,3.43
4,COS4_06977,1.8152,0.800,190.1,858,197.3,38945.3,4.98
5,COS4_23890,0.5526,0.783,37.8,309,128.9,16609.1,2.65
6,COS4_23070,0.5542,0.783,73.4,773,226.1,51121.6,4.86
7,COS4_19667,1.0654,0.762,59.1,194,92.4,8544.8,5.48
8,COS4_03894,0.5550,0.745,31.3,412,113.5,12881.6,4.29
9,COS4_09745,1.8179,0.733,421.7,335,104.5,10926.3,3.92
10,COS4_11606,1.8221,0.731,437.9,297,97.4,9478.6,2.76
11,COS4_02355,1.8169,0.729,236.7,350,136.2,18538.2,4.55
12,COS4_05974,1.8169,0.729,466.6,455,138.3,19124.8,2.79
13,COS4_26338,1.8159,0.728,421.7,455,142.6,20320.8,4.14
14,COS4_12157,1.8208,0.728,453.0,437,144.8,20968.6,4.20
15,COS4_18435,1.8221,0.727,434.2,524,157.8,24911.9,4.35
16,COS4_24878,1.8156,0.726,331.2,490,161.3,26001.6,2.78
17,COS4_19796,1.8182,0.726,451.2,455,165.4,27352.0,3.85
18,COS4_16369,1.8159,0.726,439.9,499,169.6,28760.0,2.84
19,COS4_12656,1.8175,0.725,250.1,385,180.5,32567.2,4.29
20,COS4_23287,1.8165,0.724,352.6,455,186.2,34655.1,4.68
21,COS4_06179,1.8149,0.721,228.3,1068,238.2,56733.6,3.51
22,COS4_19630,1.7981,0.718,252.4,810,281.8,79428.5,3.76
23,COS4_11827,1.7965,0.716,273.4,1199,323.0,104356.3,4.41
24,COS4_16172,1.0609,0.707,20.8,797,178.8,31969.6,3.48
25,COS4_09601,1.0614,0.696,38.7,194,169.7,28785.7,4.39
26,COS4_22437,0.5526,0.681,52.7,239,110.3,12174.6,3.16
27,COS4_22205,0.5547,0.665,31.5,459,159.2,25333.2,4.31
28,COS4_14331,0.5529,0.642,35.9,361,164.2,26969.3,4.37
29,COS4_22217,0.5545,0.639,35.4,464,159.9,25555.6,2.94
30,COS4_06483,0.5683,0.626,34.1,715,229.9,52876.8,4.64
31,COS4_05706,1.9721,0.625,15.7,777,187.0,34967.4,5.36
32,COS4_22686,0.5545,0.618,32.1,466,178.8,31955.6,2.93
33,COS4_12883,0.5550,0.615,35.3,219,107.0,11443.9,3.75
34,COS4_14160,0.7353,0.567,11.7,623,197.3,38939.7,4.40
35,COS4_05215,0.5529,0.552,31.9,212,98.6,9723.6,4.31
36,COS4_16501,1.7511,0.535,13.1,753,208.0,43272.4,3.91
37,COS4_07201,0.5390,0.523,21.6,260,154.8,23978.0,4.07
38,COS4_13786,0.5419,0.511,15.4,968,270.0,72875.4,4.19
39,COS4_19499,3.9169,0.494,12.4,216,207.0,42846.5,3.40
40,COS4_01351,1.0652,0.478,9.0,606,188.9,35697.2,2.77
41,COS4_02887,1.9721,0.476,14.0,259,160.3,25705.0,4.46
42,COS4_05415,1.9815,0.474,18.4,237,323.1,104378.5,3.43
43,COS4_15820,1.9734,0.467,11.5,259,106.1,11247.3,3.33
44,COS4_11363,3.9405,0.465,8.0,1156,315.9,99781.3,4.04
45,COS4_09677,1.9738,0.320,16.0,65,249.5,62271.6,3.97
