radius_kpc,vrot_kms,vrot_err_kms,gobs_m_s2,gobs_err_m_s2
1.328,185.0,102.5,8.353E-010,1.247E-009
2.656,89.2,61.1,9.709E-011,1.416E-010
3.984,113.8,50.7,1.054E-010,1.002E-010
5.312,102.9,81.8,6.460E-011,1.040E-010
6.640,88.8,51.9,3.849E-011,4.564E-011
7.968,150.0,87.1,9.152E-011,1.074E-010
9.296,150.4,97.7,7.886E-011,1.031E-010
10.624,148.3,138.6,6.709E-011,1.257E-010
11.952,88.6,87.8,2.129E-011,4.225E-011
13.280,163.8,119.4,6.548E-011,9.569E-011
14.608,247.7,310.4,1.361E-010,3.414E-010
15.936,291.6,322.5,1.729E-010,3.828E-010
