Family,Parameter,BEff,ObservedB,SigmaB,DilationSigma
γ = a^0.5,0.50,0.500,1.00,0.05,10.0
γ = a^0.75,0.75,0.750,1.00,0.05,5.0
γ = a^1,1.00,1.000,1.00,0.05,0.0
γ = a^1.25,1.25,1.250,1.00,0.05,5.0
γ = a^1.5,1.50,1.500,1.00,0.05,10.0
γ = a·(1-0.2z),-0.20,1.502,1.00,0.05,10.0
γ = a·(1-0.1z),-0.10,1.223,1.00,0.05,4.5
γ = a·(1+0.0z),0.00,1.000,1.00,0.05,0.0
γ = a·(1+0.1z),0.10,0.818,1.00,0.05,3.6
γ = a·(1+0.2z),0.20,0.666,1.00,0.05,6.7
γ = a·exp(-0.2z),-0.20,1.401,1.00,0.05,8.0
γ = a·exp(-0.1z),-0.10,1.200,1.00,0.05,4.0
γ = a·exp(+0.0z),0.00,1.000,1.00,0.05,0.0
γ = a·exp(+0.1z),0.10,0.800,1.00,0.05,4.0
γ = a·exp(+0.2z),0.20,0.599,1.00,0.05,8.0
γ = a/(1-0.2z),-0.20,0.498,1.00,0.05,10.0
γ = a/(1-0.1z),-0.10,0.777,1.00,0.05,4.5
γ = a/(1+0.0z),0.00,1.000,1.00,0.05,0.0
γ = a/(1+0.1z),0.10,1.182,1.00,0.05,3.6
γ = a/(1+0.2z),0.20,1.334,1.00,0.05,6.7
