Rank,ObjectId,Redshift,Band,ExposureMinutes,EmissionLine,EstimatedZ,SNR,AxisRatio,Inclination,KinematicScore,Classification,SizeArcsec,GoodPixels,VelSpanKms,RAdeg,DECdeg
1,COS4_00779,1.0660,YJ,230.0,H-alpha,1.0660,343.5,0.454,64.3,93.9,D = high-priority rotation-curve target,0.80,55,717,150.1011,2.1906
2,COS4_15095,0.5550,YJ,695.0,H-alpha,0.5550,27.5,0.574,55.9,92.2,D = high-priority rotation-curve target,1.28,150,978,150.1214,2.3342
3,COS4_18435,1.8221,H,895.0,H-alpha,1.8221,434.2,0.692,46.9,90.4,D = high-priority rotation-curve target,0.76,107,524,150.1483,2.3674
4,COS4_16172,1.0609,YJ,545.0,H-alpha,1.0609,20.8,0.703,46.0,90.2,D = high-priority rotation-curve target,1.36,97,797,150.1035,2.3461
5,COS4_02097,1.0649,YJ,230.0,H-alpha,1.0649,40.0,0.320,73.4,85.7,D = high-priority rotation-curve target,0.59,30,698,150.1140,2.2029
6,COS4_06487,0.5545,YJ,370.0,H-alpha,0.5545,47.9,0.723,44.3,84.7,D = high-priority rotation-curve target,1.06,225,412,150.1355,2.2457
7,COS4_12891,1.7994,H,560.0,H-alpha,1.7994,141.5,0.733,43.5,84.4,D = high-priority rotation-curve target,1.15,322,933,150.1648,2.3109
8,COS4_22686,0.5545,YJ,165.0,H-alpha,0.5545,32.1,0.737,43.1,84.2,D = high-priority rotation-curve target,1.10,149,466,150.1522,2.4114
9,COS4_16369,1.8159,H,465.0,H-alpha,1.8159,439.9,0.743,42.6,84.0,D = high-priority rotation-curve target,0.94,116,499,150.1771,2.3469
10,COS4_11343,1.7981,H,560.0,H-alpha,1.7981,130.8,0.762,40.9,83.4,D = high-priority rotation-curve target,1.14,313,828,150.1469,2.2953
11,COS4_21318,0.5547,YJ,515.0,H-alpha,0.5547,40.9,0.766,40.6,83.2,D = high-priority rotation-curve target,1.22,202,618,150.0619,2.3992
12,COS4_05215,0.5529,YJ,285.0,H-alpha,0.5529,31.9,0.770,40.2,83.1,D = high-priority rotation-curve target,1.06,164,212,150.1089,2.2320
13,COS4_10860,1.0611,YJ,230.0,H-alpha,1.0611,55.0,0.769,40.3,83.1,D = high-priority rotation-curve target,1.14,173,466,150.1028,2.2927
14,COS4_19667,1.0654,YJ,725.0,H-alpha,1.0654,59.1,0.776,39.6,82.8,D = high-priority rotation-curve target,1.24,140,194,150.0996,2.3797
15,COS4_12699,0.5531,YJ,320.0,H-alpha,0.5531,39.5,0.779,39.3,82.7,D = high-priority rotation-curve target,1.07,190,258,150.0877,2.3107
16,COS4_13890,1.7751,H,505.0,H-alpha,1.7751,160.8,0.780,39.2,82.7,D = high-priority rotation-curve target,1.00,221,888,150.1876,2.3225
17,COS4_23391,1.8211,H,890.0,H-alpha,1.8211,411.5,0.794,38.0,82.2,D = high-priority rotation-curve target,0.83,166,437,150.1278,2.4184
18,COS4_22437,0.5526,YJ,255.0,H-alpha,0.5526,52.7,0.796,37.8,82.1,D = high-priority rotation-curve target,1.01,239,239,150.0641,2.4096
19,COS4_24021,1.0649,YJ,255.0,H-alpha,1.0649,32.8,0.800,37.3,81.9,D = high-priority rotation-curve target,1.14,162,582,150.1033,2.4272
20,COS4_21622,1.8060,H,1210.0,H-alpha,1.8060,331.3,0.806,36.8,81.7,D = high-priority rotation-curve target,1.09,291,816,150.1153,2.3997
