Object,z,gdagger_m_s2,gdagger_err_m_s2
COS4_00779,1.0660,7.586E-012,6.827E-011
COS4_15095,0.5550,6.918E-009,1.791E-009
COS4_18435,1.8221,1.445E-010,7.933E-011
COS4_16172,1.0609,3.162E-009,1.104E-009
COS4_02097,1.0649,1.000E-008,9.000E-008
COS4_06487,0.5545,1.000E-013,9.000E-013
COS4_12891,1.7994,1.000E-008,9.000E-008
COS4_22686,0.5545,1.318E-010,5.872E-011
COS4_16369,1.8159,1.380E-009,3.979E-010
COS4_11343,1.7981,9.550E-009,1.415E-009
COS4_05215,0.5529,2.399E-010,6.915E-011
COS4_10860,1.0611,2.291E-011,2.957E-011
COS4_19667,1.0654,3.802E-011,1.446E-011
COS4_12699,0.5531,1.000E-013,9.000E-013
COS4_13890,1.7751,1.000E-013,9.000E-013
COS4_23391,1.8211,2.089E-009,6.022E-010
COS4_22437,0.5526,1.259E-010,6.032E-011
COS4_24021,1.0649,7.244E-009,2.088E-009
COS4_21622,1.8060,1.000E-008,9.000E-008
COS4_20449,1.8379,6.918E-009,1.994E-009
COS4_04596,0.5550,1.000E-013,9.000E-013
COS4_02355,1.8169,7.586E-011,2.414E-011
COS4_06483,0.5683,2.089E-009,5.410E-010
COS4_03894,0.5550,5.012E-011,3.116E-011
COS4_21072,0.5547,5.495E-010,1.584E-010
COS4_23890,0.5526,5.495E-010,1.918E-010
COS4_08096,1.0614,1.000E-013,9.000E-013
COS4_09601,1.0614,5.012E-010,1.749E-010
COS4_25855,1.0652,1.318E-010,4.600E-011
COS4_05334,1.8014,1.000E-008,9.000E-008
COS4_05588,1.8192,1.000E-013,9.000E-013
COS4_20565,0.5764,1.000E-008,9.000E-008
COS4_09745,1.8179,5.754E-010,1.831E-010
COS4_10048,1.8215,6.918E-012,6.226E-011
COS4_25147,1.8149,1.445E-010,5.498E-011
COS4_11606,1.8221,2.884E-010,1.285E-010
COS4_18358,1.7902,1.000E-008,9.000E-008
COS4_25850,1.8182,1.000E-008,9.000E-008
COS4_07201,0.5390,3.311E-010,1.054E-010
COS4_24028,1.0537,1.000E-013,9.000E-013
COS4_12656,1.8175,2.884E-009,8.313E-010
COS4_14331,0.5529,6.026E-011,3.095E-011
COS4_10613,0.5545,1.000E-008,9.000E-008
COS4_17641,1.8057,1.000E-008,9.000E-008
COS4_23139,1.0654,4.169E-009,1.079E-009
COS4_23287,1.8165,3.981E-010,1.148E-010
COS4_11827,1.7965,1.820E-010,8.718E-011
COS4_22205,0.5547,1.318E-009,3.413E-010
COS4_23070,0.5542,1.585E-009,5.044E-010
COS4_05974,1.8169,9.550E-011,4.904E-011
COS4_07337,1.8261,7.244E-009,1.876E-009
COS4_22217,0.5545,1.445E-009,4.600E-010
COS4_06452,1.8017,1.000E-008,9.000E-008
COS4_13786,0.5419,9.120E-010,3.469E-010
COS4_19630,1.7981,1.905E-009,5.492E-010
COS4_12157,1.8208,9.550E-010,2.753E-010
COS4_17162,1.7991,8.318E-009,2.154E-009
COS4_05499,1.8001,1.000E-008,9.000E-008
COS4_18709,1.8024,1.000E-008,9.000E-008
COS4_24878,1.8156,4.571E-010,1.595E-010
COS4_26338,1.8159,5.248E-010,2.514E-010
COS4_04484,1.8327,1.000E-008,9.000E-008
COS4_04536,1.8156,1.000E-013,9.000E-013
COS4_13527,1.0625,1.000E-008,9.000E-008
COS4_05103,1.8277,9.120E-009,2.100E-009
COS4_12056,1.8179,1.000E-008,9.000E-008
COS4_19049,1.7988,4.169E-009,1.202E-009
COS4_13748,1.8165,1.000E-008,9.000E-008
COS4_17997,1.8060,1.000E-008,9.000E-008
COS4_19796,1.8182,1.259E-009,4.007E-010
COS4_20910,0.5547,1.000E-013,9.000E-013
COS4_06179,1.8149,6.026E-011,5.723E-011
COS4_06977,1.8152,3.311E-010,1.054E-010
COS4_07392,1.0614,1.000E-013,9.000E-013
COS4_12883,0.5550,1.820E-010,8.106E-011
COS4_03243,1.0625,1.000E-008,9.000E-008
COS4_14445,0.9313,1.000E-008,9.000E-008
COS4_19680,1.9768,1.000E-013,9.000E-013
COS4_05706,1.9721,1.148E-010,7.573E-011
COS4_19753,1.9734,1.000E-013,9.000E-013
COS4_12995,1.9730,1.000E-008,9.000E-008
COS4_16501,1.7511,2.884E-010,1.190E-010
COS4_17600,1.9798,6.607E-009,2.513E-009
COS4_24763,1.9700,5.495E-013,4.946E-012
COS4_08854,0.5657,3.311E-009,1.054E-009
COS4_15820,1.9734,2.754E-010,1.048E-010
COS4_12577,1.9768,1.000E-008,9.000E-008
COS4_19499,3.9169,5.754E-010,2.008E-010
COS4_22995,1.9897,1.000E-013,9.000E-013
COS4_05415,1.9815,3.162E-010,1.409E-010
COS4_16609,1.9713,1.000E-008,9.000E-008
COS4_26659,0.5526,7.943E-009,2.057E-009
COS4_14160,0.7353,1.202E-010,7.032E-011
COS4_02887,1.9721,5.248E-011,1.996E-011
COS4_09677,1.9738,3.981E-011,3.962E-011
COS4_02167,0.8274,1.000E-013,9.000E-013
COS4_01351,1.0652,3.020E-009,1.345E-009
COS4_11363,3.9405,1.380E-009,6.614E-010
